otu	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4	E1	E2	E3	E4	F1	F2	F3	F4	G1	G2	G3	G4	H1	H2	H3	H4
Otu9024	0	0	0	0	0	0	0	0	1	0	0	0	0	0	418	35	0	0	0	0	0	0	118	63	0	0	0	0	0	0	1	39
Otu3416	0	0	0	0	11	0	1	0	47	148	293	0	41	0	8	0	8	73	8	0	0	0	1	4	0	0	19	0	2	0	2	0
Otu3760	0	1	134	52	0	0	0	0	8	6	5	5	20	2	5	32	1	5	13	9	29	36	144	4	0	9	0	79	11	12	34	0
Otu64344	29	6	0	0	0	0	0	0	6	5	38	13	13	11	21	43	21	12	14	13	25	3	16	20	20	3	10	79	21	22	150	8
Otu37190	0	1	0	0	0	0	0	0	0	21	50	3	1	1	11	6	7	114	11	16	38	8	48	4	0	3	2	89	71	10	70	8
Otu8830	0	16	0	0	0	0	0	0	0	0	133	0	20	12	0	0	1	0	138	1	28	4	26	1	1	0	5	203	0	0	1	0
Otu3353	0	1	0	0	0	0	0	0	0	25	54	6	14	7	7	17	305	29	0	2	0	2	2	4	0	0	64	28	12	0	0	4
Otu32054	0	0	0	0	0	0	0	0	21	0	539	0	0	0	0	0	0	2	0	0	0	2	1	4	0	0	0	1	1	0	0	0
Otu14420	4	0	0	1	0	0	0	0	0	9	1	5	0	1	0	0	0	0	0	19	0	2	0	1	0	3	411	66	20	14	1	6
Otu14373	48	1	0	25	0	12	0	0	18	46	153	15	12	6	2	7	0	7	0	3	0	1	1	1	23	5	29	86	6	23	32	0
Otu10057	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	239	0	0	0	1	0	0	0	0	0	0	0	301	0	0
Otu3755	0	16	58	47	20	0	0	0	11	4	14	26	74	14	14	16	10	19	11	11	15	6	12	6	8	19	15	19	13	29	25	23
Otu2586	0	46	0	0	0	0	114	0	119	0	0	0	0	0	0	79	0	0	0	33	0	34	0	17	0	0	0	69	0	1	0	41
Otu3741	0	5	0	0	0	0	0	0	0	8	1	0	7	26	219	128	0	0	0	7	18	2	23	9	57	0	0	39	0	0	1	1
Otu14424	41	10	6	20	0	19	0	0	3	4	24	38	23	0	3	29	19	4	33	27	0	8	27	18	21	0	66	9	0	0	80	15
